"tadpole","treatment","pond","PC1","PC2"
"BO_W_10_Wild","Wild","BO",-0.0106219105051514,-0.0134066081096973
"DT_02_D_Low","Low","DT",-0.0222880128130875,0.00470637528369357
"PB_02_D_High","High","PB",-0.0334834855453114,-0.0194232096949951
"DE_W_03_Wild","Wild","DE",0.061072124411858,-0.0995013957656345
"E1_02_A_Low","Low","E1",-0.0255634439436641,0.00974062946417723
"BS_W_09_Wild","Wild","BS",-0.0149059679052392,0.00958694686651015
"GB_04_C_Low","Low","GB",-0.0254630006238909,0.0188076184344989
"E1_03_A_High","High","E1",-0.0347807763243992,-0.0162365752481696
"PB_04_C_Low","Low","PB",-0.0305514411773574,0.0288359106850772
"BO_02_C_Low","Low","BO",0.0464443255453296,0.0678241499914538
"BS_03_C_High","High","BS",-0.0378075375945744,0.034518829650158
"PB_04_B_High","High","PB",-0.0105879357589253,0.0149587767964893
"DT_W_12_Wild","Wild","DT",-0.0149055249389,-0.0785447369884826
"DT_W_03_Wild","Wild","DT",0.0319178608807859,-0.041864574790674
"DE_W_07_Wild","Wild","DE",-0.0635177034103986,-0.0302885536276147
"CPS_W_15_Wild","Wild","CPS",0.0391377130150088,-0.0615217527175482
"BS_05_A_High","High","BS",0.0437873774857061,0.0301464727563774
"DE_01_D_Low","Low","DE",-0.0249985020202234,0.00620551897409269
"BS_03_D_High","High","BS",-0.00111825018740727,0.0298891954674345
"BS_W_13_Wild","Wild","BS",-0.0291558730669964,-0.0245454023908883
"GB_06_B_Low","Low","GB",-0.0478718929376483,0.00129157699973018
"PB_W_17_Wild","Wild","PB",0.0484404476158972,0.00997019754719592
"BO_01_B_High","High","BO",0.0686999958194563,0.0506802312005647
"BS_W_16_Wild","Wild","BS",-0.0209536339275273,-0.0188769741383393
"E1_04_B_Low","Low","E1",-0.011694448942709,0.0261419568669103
"PB_04_D_High","High","PB",0.010319041159005,0.0211145298870083
"MI_02_C_Low","Low","MI",-0.0274021576218709,0.00626643763142306
"MI_03_C_Low","Low","MI",-0.0341730182198215,-0.00514141546133465
"CPS_05_B_High","High","CPS",-0.032426723718142,0.0242332094690527
"PB_W_07_Wild","Wild","PB",-0.0163967598259495,-0.0734505775853509
"BO_W_05_Wild","Wild","BO",0.0033302096738931,-0.028638877685428
"DT_W_18_Wild","Wild","DT",-0.000543858251374327,-0.0345581180674147
"CPS_03_D_Low","Low","CPS",-0.024237486089151,0.0292894487796895
"DT_W_08_Wild","Wild","DT",0.0156121113824861,-0.0331251419708714
"BS_02_D_High","High","BS",0.0123080325206555,0.0175280260050639
"LO_W_03_Wild","Wild","LO",0.039787229485947,-0.0678190175999994
"PB_05_D_Low","Low","PB",0.00129511706307027,0.0657151112396641
"GB_W_16_Wild","Wild","GB",0.0436503441431423,-0.0023723337724887
"DT_02_D_High","High","DT",-0.0185989678614695,-0.00540572215525605
"DT_06_D_Low","Low","DT",-0.0290264472905657,0.0342853570756832
"E1_03_C_Low","Low","E1",-0.0307702418954388,0.0203215643137712
"MI_06_C_High","High","MI",-0.00918386058963653,-0.00805021534820866
"BS_01_D_Low","Low","BS",-0.0165828730593143,0.0023486404554726
"LO_06_C_High","High","LO",0.0445370378346797,0.0381714808222937
"BS_04_A_Low","Low","BS",-0.0449483408588116,0.00978662678345204
"GB_02_C_High","High","GB",0.101478536594777,0.0772300950697181
"PB_W_04_Wild","Wild","PB",0.0558886928862485,-0.0807516258470029
"CPS_03_D_High","High","CPS",-0.013766148957751,0.0407934364614026
"LO_W_05_Wild","Wild","LO",-0.0304435399214501,-0.0515410609245728
"CPS_03_C_High","High","CPS",-0.000360971443816029,0.00881797841178666
"DE_05_C_High","High","DE",-0.0551535623393877,-0.00341285298407684
"GB_W_08_Wild","Wild","GB",-0.055944437568093,-0.0258030911750966
"LO_05_D_Low","Low","LO",0.0134355658302325,-0.00244651066730093
"E1_04_A_Low","Low","E1",0.00962599954110174,0.000555673714996168
"DT_04_B_High","High","DT",0.0955133574249752,-0.00508378614811195
"CPS_01_B_High","High","CPS",-0.0120163099177735,0.0100267025162689
"CPS_W_13_Wild","Wild","CPS",0.0355713884941749,-0.0563398066195521
"LO_04_A_Low","Low","LO",-0.0493802543813233,0.0195516973316705
"DE_05_A_High","High","DE",-0.0358091132059965,0.0137338794659391
"PB_04_D_Low","Low","PB",-0.0399487662737149,0.0306813858245938
"BS_05_A_Low","Low","BS",0.0500359174553206,0.0547050135305269
"CPS_06_A_Low","Low","CPS",-0.0516111794752017,0.0254748178719984
"E1_04_D_Low","Low","E1",-0.0134011221828543,0.0405096733036227
"GB_01_C_High","High","GB",-0.047560669816331,0.0128862676984133
"GB_02_A_Low","Low","GB",-0.0260128282801395,0.0365709673005819
"DE_03_C_High","High","DE",-0.0258244320828214,0.0180977227434103
"LO_06_C_Low","Low","LO",-0.00280871143402295,0.0168127158490594
"BO_W_12_Wild","Wild","BO",-0.00266639407749575,-0.0244618655578553
"GB_06_B_High","High","GB",0.023815990727199,0.00131452668083772
"CPS_06_B_High","High","CPS",0.0356049308616402,0.0599385813898739
"GB_W_13_Wild","Wild","GB",0.0499304370961536,-0.0130636217667826
"LO_06_A_High","High","LO",0.0640213601584693,0.0318520532150848
"DE_03_D_Low","Low","DE",-0.0261492905103493,0.0230638399493997
"E1_02_B_High","High","E1",0.0273573989272045,-0.0562567183330718
"BO_04_B_Low","Low","BO",-0.0460044504976052,0.0043100726215739
"LO_06_D_Low","Low","LO",-0.0323430289914083,0.0333817758466688
"DT_02_C_Low","Low","DT",-0.00721179927717191,0.000702089595478523
